| -------------------------------------------- | ------------------------------------ |
|               LINKS_TG                       |                 INFO                 |
| -------------------------------------------- | ------------------------------------ |
| https://t.me/AntiPlumbers                    | DDoSecrets                           |
| https://t.me/caucasnet                       | Data Leaks                           |
| https://t.me/arvin_club                      | Data Leaks, Tools, Proxy             |
| https://t.me/base_brutesu                    | Crypto, Combo List                   |
| https://t.me/baseleak                        | Data Leaks                           |
| https://t.me/breachdetector                  | Leak Monitor                         |
| https://t.me/BreachedDB                      | Data Leaks                           |
| https://t.me/club1337                        | Mix                                  |
| https://t.me/cveNotify                       | CVE Alert                            |
| https://t.me/cybdetective                    | News & Info Sharing                  |
| https://t.me/D3atr0y3d                       | Data Leaks                           |
| https://t.me/D3v1LZoNe                       | devilzone 1 - configs, combos        |
| https://t.me/DarkfeedNews                    | Darknet Monitoring (Israel)          |
| https://t.me/data1eaks                       | Data Leaks                           |
| https://t.me/dbforall                        | Darknet                              |
| https://t.me/freedomf0x                      | Tools, Learning                      |
| https://t.me/fuckeddb                        | Data Leaks                           |
| https://t.me/GhostSecc                       | GhostSec Hacktivism group            |
| https://t.me/GitTools                        | Github                               |
| https://t.me/hadesh0p                        | Spamming Tools                       |
| https://t.me/hidden_links                    | Hidden Links                         |
| https://t.me/HK4GANG                         | Tools, Learning                      |
| https://t.me/hackgit                         | Repositary Github                    |
| https://t.me/itarmyofukraine2022             | IT Army UA                           |
| https://t.me/data_leaks_ukraine              | Leaks Ministry UA                    |
| https://t.me/joinchat/8yMjCnT06ytjNzQx       | Data Hunters                         |
| https://t.me/joinchat/AAAAAFGhhcV9p1Rm2f_Emw | Exploits Market                      |
| https://t.me/joinchat/AAAAAFNLmVP0ZCy51tNOig | News LolzTeam                        |
| https://t.me/joinchat/VBAj4Hc6Xki5lG_H       | Data Leaks  Dark Net-a               |
| https://t.me/killnet_channel                 | Killnet Hacktivist Group             |
| https://t.me/killnet_hacking                 | Killnet Hacktivist Group             |
| https://t.me/Legion_Russia                   | Killnet Hacktivist Group             |
| https://t.me/latest_leaks                    | Data Leaks, Tools                    |
| https://t.me/leaked_databases                | Data Leaks, News                     |
| https://t.me/leaklicks/                      | Data Leaks                           |
| https://t.me/databaseglobal                  | Data Leaks                           |
| https://t.me/leakinformation                 | Data Leaks                           |
| https://t.me/LeaRNEXploIT                    | Learning                             |
| https://t.me/kali_outis                      | Learning                             |
| https://t.me/mailpassclub                    | sqli_cloud                           |
| https://t.me/sqli_cloud                      | Leaks Mails                          |
| https://t.me/meganzshare                     | Data Leaks                           |
| https://t.me/minsaudebr                      | Lapsus$                              |
| https://t.me/NullLeak                        | Data Leaks                           |
| https://t.me/O1chat                          | Market                               |
| https://t.me/privatecombos                   | Leaks Mails:Pswd                     |
| https://t.me/ProxyMTProto                    | Proxy                                |
| https://t.me/peass                           | Group Chat, Learning                 |
| https://t.me/procoder_base                   | Data Leaks                           |
| https://t.me/proxy_bar                       | Exploits, Hacking and Leaks          |
| https://t.me/ransomwatcher                   | Ransom Alert                         |
| https://t.me/SHARK_CHANNEL1                  | configs, combos                      |
| https://t.me/shieldteam1                     | Learning, Data Leaks                 |
| https://t.me/snatch_news                     | Snatch Team (Ransomware Gang)        |
| https://t.me/Storm_Free_Config               | Tools                                |
| https://t.me/weleakdatabase                  | Data Leaks                           |
| https://t.me/WLDBackup                       | Data Leaks                           |
| https://t.me/worldwidelogs                   | Data Leaks                           |
| https://t.me/zer0daylab/                     | Hacking, Leaks and News              |
| https://t.me/ZeroDay_TM                      | Original ZeroDay Community           |
| https://t.me/leaked_detabase                 | Data Leaks                           |
| https://t.me/xaknet_team                     | Killnet                              |
| https://t.me/Industrial_Spy                  | Industrial Spy                       |
| https://t.me/Database_breached               | Data Leaks ***Approved by FBI***     |
| https://t.me/AccountBins                     | combos                               |
| https://t.me/canyoupwnme                     | News                                 |
| https://t.me/DataLeakHome                    | Data Leaks                           |
| https://t.me/crackcodes                      | Data Leaks                           |
| https://t.me/viperzcrew_reborn               | Tutorials                            |
| https://t.me/NemesisCracking 			|  Tutorials						|
|  https://t.me/financeboys0					| Crypto			|
| https://t.me/aresmainchannel			| Data Leaks		|
